CODE;NAME;LONGNAME;ABV;SLUG;LATITUDE;LONGITUDE;POPULATION;AREA
1;AL;Alabama;AL;alabama;32.806671;-86.791130;4779736;50744.00
2;AK;Alaska;AK;alaska;61.370716;-152.404419;710231;571951.25
4;AZ;Arizona;AZ;arizona;33.729759;-111.431221;6392017;113634.57
5;AR;Arkansas;AR;arkansas;34.969704;-92.373123;2915918;52068.17
6;CA;California;CA;california;36.116203;-119.681564;37253956;155939.52
8;CO;Colorado;CO;colorado;39.059811;-105.311104;5029196;103717.53
9;CT;Connecticut;CT;connecticut;41.597782;-72.755371;3574097;4844.80
10;DE;Delaware;DE;delaware;39.318523;-75.507141;897934;1953.56
11;DC;District of Columbia;DC;district-of-columbia;38.897438;-77.026817;601723;68.34
12;FL;Florida;FL;florida;27.766279;-81.686783;18801310;53926.82
13;GA;Georgia;GA;georgia;33.040619;-83.643074;9687653;57906.14
15;HI;Hawaii;HI;hawaii;21.094318;-157.498337;1360301;6422.62
16;ID;Idaho;ID;idaho;44.240459;-114.478828;1567582;82747.21
17;IL;Illinois;IL;illinois;40.349457;-88.986137;12830632;55583.58
18;IN;Indiana;IN;indiana;39.849426;-86.258278;6483802;35866.90
19;IA;Iowa;IA;iowa;42.011539;-93.210526;3046355;55869.36
20;KS;Kansas;KS;kansas;38.526600;-96.726486;2853118;81814.88
21;KY;Kentucky;KY;kentucky;37.668140;-84.670067;4339367;39728.18
22;LA;Louisiana;LA;louisiana;31.169546;-91.867805;4533372;43561.85
23;ME;Maine;ME;maine;44.693947;-69.381927;1328361;30861.55
24;MD;Maryland;MD;maryland;39.063946;-76.802101;5773552;9773.82
25;MA;Massachusetts;MA;massachusetts;42.230171;-71.530106;6547629;7840.02
26;MI;Michigan;MI;michigan;43.326618;-84.536095;9883640;56803.82
27;MN;Minnesota;MN;minnesota;45.694454;-93.900192;5303925;79610.08
28;MS;Mississippi;MS;mississippi;32.741646;-89.678696;2967297;46906.96
29;MO;Missouri;MO;missouri;38.456085;-92.288368;5988927;68885.93
30;MT;Montana;MT;montana;46.921925;-110.454353;989415;145552.44
31;NE;Nebraska;NE;nebraska;41.125370;-98.268082;1826341;76872.41
32;NV;Nevada;NV;nevada;38.313515;-117.055374;2700551;109825.99
33;NH;New Hampshire;NH;new-hampshire;43.452492;-71.563896;1316470;8968.10
34;NJ;New Jersey;NJ;new-jersey;40.298904;-74.521011;8791894;7417.34
35;NM;New Mexico;NM;new-mexico;34.840515;-106.248482;2059179;121355.53
36;NY;New York;NY;new-york;42.165726;-74.948051;19378102;47213.79
37;NC;North Carolina;NC;north-carolina;35.630066;-79.806419;9535483;48710.88
38;ND;North Dakota;ND;north-dakota;47.528912;-99.784012;672591;68975.93
39;OH;Ohio;OH;ohio;40.388783;-82.764915;11536504;40948.38
40;OK;Oklahoma;OK;oklahoma;35.565342;-96.928917;3751351;68667.06
41;OR;Oregon;OR;oregon;44.572021;-122.070938;3831074;95996.79
42;PA;Pennsylvania;PA;pennsylvania;40.590752;-77.209755;12702379;44816.61
44;RI;Rhode Island;RI;rhode-island;41.680893;-71.511780;1052567;1044.93
45;SC;South Carolina;SC;south-carolina;33.856892;-80.945007;4625364;30109.47
46;SD;South Dakota;SD;south-dakota;44.299782;-99.438828;814180;75884.64
47;TN;Tennessee;TN;tennessee;35.747845;-86.692345;6346105;41217.12
48;TX;Texas;TX;texas;31.054487;-97.563461;25145561;261797.12
49;UT;Utah;UT;utah;40.150032;-111.862434;2763885;82143.65
50;VT;Vermont;VT;vermont;44.045876;-72.710686;625741;9249.56
51;VA;Virginia;VA;virginia;37.769337;-78.169968;8001024;39594.07
53;WA;Washington;WA;washington;47.400902;-121.490494;6724540;66544.06
54;WV;West Virginia;WV;west-virginia;38.491226;-80.954453;1852994;24077.73
55;WI;Wisconsin;WI;wisconsin;44.268543;-89.616508;5686986;54310.10
56;WY;Wyoming;WY;wyoming;42.755966;-107.302490;563626;97100.40
